old,new,batch,evidence
statusBarNetworkHideSlowTitle,system_ui_status_bar_network_hide_slow_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkHideThresholdTitle,system_ui_status_bar_network_hide_threshold_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkRefreshIntervalTitle,system_ui_status_bar_network_refresh_interval_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkRefreshSummary,system_ui_status_bar_network_refresh_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkRefreshTitle,system_ui_status_bar_network_refresh_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkSizeDoubleLayer,system_ui_status_bar_network_size_double_layer,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkSizeDoubleLayerSummary,system_ui_status_bar_network_size_double_layer_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkSizeSummary,system_ui_status_bar_network_size_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkSizeTitle,system_ui_status_bar_network_size_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarNetworkTitle,system_ui_status_bar_network_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
statusBarSettingSummary,system_ui_status_bar_setting_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\SystemUISettingsScreen.kt
statusBarSettingTitle,system_ui_status_bar_setting_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\SystemUISettingsScreen.kt
status_bar_clock_settings_title,system_ui_status_bar_clock_settings_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
status_bar_notification_settings_title,system_ui_status_bar_notification_settings_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
status_bar_settings_title_suffix,system_ui_status_bar_title_suffix,scope,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt
step_1_instruction,settings_step_1_instruction,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
step_2_instruction,settings_step_2_instruction,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
step_3_instruction,settings_step_3_instruction,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
step_4_instruction,settings_step_4_instruction,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
step_complete_instruction,settings_step_complete_instruction,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\floatingwindow\FloatingWindow.kt
success_title,settings_success_title,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
super_connect_scope_title,mobile_desktop_super_connect_scope_title,scope,app\src\main\java\com\qimian233\ztool\screens\mobiledesktop\MobileDesktopSettingsScreen.kt
syatusBatteryExternalSummary,system_ui_status_bar_syatus_battery_external_summary,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
syatusBatteryExternalTitle,system_ui_status_bar_syatus_battery_external_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
systemUIMisc,system_ui_common_misc,scope,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\misc\SystemUiMiscSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\SystemUISettingsScreen.kt
system_framework_app_description,system_framework_app_description,skip,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
system_framework_app_name,system_framework_app_name,skip,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
system_ui_app_description,system_ui_app_description,skip,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
system_ui_app_name,system_ui_app_name,skip,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
system_update_app_description,system_update_app_description,skip,app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
system_update_app_name,system_update_app_name,skip,app\src\main\java\com\qimian233\ztool\navigation\ZToolNavHost.kt;app\src\main\java\com\qimian233\ztool\screens\features\FeaturesRoute.kt
systemui_root_permission_required_message,system_ui_lock_screen_root_permission_required_message,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
test,system_ui_lock_screen_test,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
test_success,system_ui_test_success,scope,app\src\main\java\com\qimian233\ztool\data\systemui\LockScreenSettingsRepository.kt
testing_api_connection,system_ui_lock_screen_testing_api_connection,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
text_bold_title,system_ui_status_bar_text_bold_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
text_color_title,system_ui_status_bar_text_color_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
text_size_title,system_ui_status_bar_text_size_title,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\statusbar\StatusBarSettingsScreen.kt
theme_mode_dark,page_settings_theme_mode_dark,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\theme\ThemeSettingsRoute.kt
theme_mode_follow_system,page_settings_theme_mode_follow_system,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\theme\ThemeSettingsRoute.kt
theme_mode_light,page_settings_theme_mode_light,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\theme\ThemeSettingsRoute.kt
theme_mode_title,page_settings_theme_mode_title,page,app\src\main\java\com\qimian233\ztool\screens\ztoolsettings\theme\ThemeSettingsRoute.kt
tip_title,settings_tip_title,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\ZuiSettingsDetailScreen.kt
tooltip_content_description,system_ui_common_tooltip_content_description,scope,app\src\main\java\com\qimian233\ztool\screens\systemui\controlcenter\ControlCenterSettingsScreen.kt;app\src\main\java\com\qimian233\ztool\screens\systemui\lockscreen\LockScreenSettingsScreen.kt
transparent_activities,settings_transparent_activities,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
unable_to_find_application,settings_unable_to_find_application,scope,app\src\main\java\com\qimian233\ztool\screens\zuisetting\magicwindowsearch\searchPage.kt
